COLOR,DESIGN,FABRIC,IMG,PRICE,PRODUCT_TYPE,SKU,TECHNIQUE,TITLE
Beige,Design: Contemporary,Fabric: Mesuri,"https://pk.khaadi.com/media/catalog/product/j/m/jm21201_beige_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 1,890",Product Type: Kameez Pants,JM21201,Technique: Printed,Unstitched Printed 2 Piece385
Orange,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/l/2/l2104012_yellow_1_3.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 1,890",Product Type: Kameez Dupatta,L2104012,Technique: Printed,Unstitched Printed 2 Piece386
Off-White,Design: Traditional,Fabric: Cambric,"https://pk.khaadi.com/media/catalog/product/l/2/l21247_beige_1_6.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 1,990",Product Type: Kameez Dupatta,L21247,Technique: Printed,Unstitched Printed 2 Piece387
Pink,Design: Traditional,Fabric: Cambric,"https://pk.khaadi.com/media/catalog/product/l/2/l21248_beige_1_3.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 1,990",Product Type: Kameez Dupatta,L21248,Technique: Printed,Unstitched Printed 2 Piece388
Black,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/l/2/l21320_black_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,190",Product Type: Kameez Dupatta,L21320,Technique: Printed,Unstitched Printed 2 Piece389
Off-White,Design: Traditional,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/m/2/m210206_beige_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,390",Product Type: Kameez Dupatta,M210206,Technique: Printed Embroidered,Unstitched Embroidered 2 Piece390
Pink,Design: Contemporary,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/m/2/m2103030_pink_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,190",Product Type: Kameez Dupatta,M2103030,Technique: Printed Embroidered,Unstitched Embroidered 2 Piece391
Beige,Design: Traditional,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/m/2/m2103035_beige_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,590",Product Type: Kameez Dupatta,M2103035,Technique: Printed Embroidered,Unstitched Embroidered 2 Piece392
Yellow,Design: Traditional,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/m/2/m2103040_yellow_1_4.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,590",Product Type: Kameez Dupatta,M2103040,Technique: Printed Embroidered,Unstitched Embroidered 2 Piece393
Cream,Design: Traditional,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/m/b/mb21123_blue_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,290",Product Type: Kameez Dupatta,MB21123,Technique: Printed Embroidered,Unstitched Embroidered 2 Piece394
Grey,Design: Traditional,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a2103002_grey_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,490",Product Type: Kameez Pants Dupatta,A2103002,Technique: Printed,Unstitched Printed 3 Piece395
Red,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a2104046_red_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,290",Product Type: Kameez Pants Dupatta,A2104046,Technique: Printed,Unstitched Printed 3 Piece396
Blue,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a210508_blue_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,590",Product Type: Kameez Pants Dupatta,A210508,Technique: Printed,Unstitched Printed 3 Piece397
Beige,"Shirt Length: 1.3 meters - 84""",Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a210528_beige_1_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,790",Product Type: Kameez Pants Dupatta,A210528,Technique: Printed,Unstitched Printed 3 Piece398
Cream,"Shirt Length: 1.3 meters - 84""",Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a210528_blue_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,790",Product Type: Kameez Pants Dupatta,A210528,Technique: Printed,Unstitched Printed 3 Piece399
